Database,Keyword,Seed keyword,Page,Topic,Page type,Tags,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend,Click potential,Content references,Competitors
co,costo de registro de marca,,registro de marca,,,,90,7,0.12,0.41,124000000,Informational,"Video, Video Carousel, Related Searches, AI Overview","0.08,0.19,0.19,1.00,0.02,0.02,0.02,0.02,0.03,0.24,0.12,0.03",90,"""affirmalegal.com"":""https://www.affirmalegal.com/blog/como-se-registra-una-marca-en-colombia/""
""camaramedellin.com.co"":""https://www.camaramedellin.com.co/quiero-un-servicio-para-mi-empresa/creacion-de-empresas/asesoria-para-el-registro-de-marca-ante-la-sic""
""sic.gov.co"":""https://www.sic.gov.co/tasas-signos-distintivos""
""vue.gov.co"":""https://www.vue.gov.co/tramites-y-consultas/consulta-de-nombre-de-marca""
""signa.com.co"":""https://www.signa.com.co/precios/""
""sic.gov.co"":""https://www.sic.gov.co/tema/propiedad-Industrial/pasos-para-solicitar-el-registro-de-una-marca""
""registro-marcas-colombia.com"":""https://registro-marcas-colombia.com/cuanto-cuesta-registrar-marca-colombia/""
""youtube.com"":""https://www.youtube.com/watch?v=YEXW82L0q9E""
""sipi.sic.gov.co"":""https://sipi.sic.gov.co/sipi/extra/""
""cardenasvega.com"":""https://www.cardenasvega.com/index.php/cardenas-vega/boletin-intelectual/item/cuanto-cuesta-registrar-marca""","""sic.gov.co"":""https://www.sic.gov.co/tasas-signos-distintivos""
""registro-marcas-colombia.com"":""https://registro-marcas-colombia.com/cuanto-cuesta-registrar-marca-colombia/""
""signa.com.co"":""https://www.signa.com.co/precios/""
""lois.com.co"":""https://lois.com.co/registro-marca-emprende-joven-colombia/""
""cardenasvega.com"":""https://www.cardenasvega.com/index.php/marcas""
""protectia.eu"":""https://www.protectia.eu/cuanto-cuesta-registrar-una-marca-en-colombia/""
""affirmalegal.com"":""https://www.affirmalegal.com/blog/como-se-registra-una-marca-en-colombia/""
""tumarca.com"":""https://tumarca.com/lista-de-precios/""
""portafolio.co"":""https://www.portafolio.co/negocios/comercio/estos-son-los-costos-para-registrar-una-marca-en-colombia-623855""
""marcasyregistros.com"":""https://marcasyregistros.com/landings/costos_registro_de_marca_en_Colombia.html"""
co,cuanto cuesta registrar una marca,,registro de marca,,,,70,10,0.14,0.47,49700000,Informational,"Related Searches, AI Overview, Video","0.21,0.21,0.21,0.36,0.21,1.00,0.21,1.00,0.21,0.21,0.21,0.21",90,"""affirmalegal.com"":""https://www.affirmalegal.com/blog/como-se-registra-una-marca-en-colombia/""
""camaramedellin.com.co"":""https://www.camaramedellin.com.co/quiero-un-servicio-para-mi-empresa/creacion-de-empresas/asesoria-para-el-registro-de-marca-ante-la-sic""
""sic.gov.co"":""https://www.sic.gov.co/tasas-signos-distintivos""
""vue.gov.co"":""https://www.vue.gov.co/tramites-y-consultas/consulta-de-nombre-de-marca""
""signa.com.co"":""https://www.signa.com.co/precios/""
""sic.gov.co"":""https://www.sic.gov.co/tema/propiedad-Industrial/pasos-para-solicitar-el-registro-de-una-marca""
""registro-marcas-colombia.com"":""https://registro-marcas-colombia.com/cuanto-cuesta-registrar-marca-colombia/""
""youtube.com"":""https://www.youtube.com/watch?v=YEXW82L0q9E""
""sipi.sic.gov.co"":""https://sipi.sic.gov.co/sipi/extra/""
""cardenasvega.com"":""https://www.cardenasvega.com/index.php/cardenas-vega/boletin-intelectual/item/cuanto-cuesta-registrar-marca""","""sic.gov.co"":""https://www.sic.gov.co/tasas-signos-distintivos""
""cardenasvega.com"":""https://www.cardenasvega.com/index.php/cardenas-vega/boletin-intelectual/item/cuanto-cuesta-registrar-marca""
""youtube.com"":""https://www.youtube.com/watch?v=YEXW82L0q9E""
""signa.com.co"":""https://www.signa.com.co/precios/""
""camaramedellin.com.co"":""https://www.camaramedellin.com.co/quiero-un-servicio-para-mi-empresa/creacion-de-empresas/asesoria-para-el-registro-de-marca-ante-la-sic""
""affirmalegal.com"":""https://www.affirmalegal.com/blog/como-se-registra-una-marca-en-colombia/""
""registro-marca.com"":""https://registro-marca.com/cuanto-cuesta-registrar-marca/""
""tiktok.com"":""https://www.tiktok.com/@valeriadavid.abogada/video/7537159532049468677""
""merchants.rappi.com"":""https://merchants.rappi.com/es-co/cuanto-cuesta-registrar-marca-colombia""
""protectia.eu"":""https://www.protectia.eu/cuanto-cuesta-registrar-una-marca-en-colombia/"""
co,cuanto vale registrar una marca en colombia,,registro de marca,,,,390,19,0.13,0.40,49700000,Informational,"Video, Adwords Bottom, Related Searches, AI Overview","0.36,0.66,0.54,0.66,0.54,1.00,0.66,0.81,0.66,0.66,0.66,0.44",90,"""affirmalegal.com"":""https://www.affirmalegal.com/blog/como-se-registra-una-marca-en-colombia/""
""camaramedellin.com.co"":""https://www.camaramedellin.com.co/quiero-un-servicio-para-mi-empresa/creacion-de-empresas/asesoria-para-el-registro-de-marca-ante-la-sic""
""sic.gov.co"":""https://www.sic.gov.co/tasas-signos-distintivos""
""vue.gov.co"":""https://www.vue.gov.co/tramites-y-consultas/consulta-de-nombre-de-marca""
""signa.com.co"":""https://www.signa.com.co/precios/""
""sic.gov.co"":""https://www.sic.gov.co/tema/propiedad-Industrial/pasos-para-solicitar-el-registro-de-una-marca""
""registro-marcas-colombia.com"":""https://registro-marcas-colombia.com/cuanto-cuesta-registrar-marca-colombia/""
""youtube.com"":""https://www.youtube.com/watch?v=YEXW82L0q9E""
""sipi.sic.gov.co"":""https://sipi.sic.gov.co/sipi/extra/""
""cardenasvega.com"":""https://www.cardenasvega.com/index.php/cardenas-vega/boletin-intelectual/item/cuanto-cuesta-registrar-marca""","""sic.gov.co"":""https://www.sic.gov.co/tasas-signos-distintivos""
""registro-marcas-colombia.com"":""https://registro-marcas-colombia.com/cuanto-cuesta-registrar-marca-colombia/""
""youtube.com"":""https://www.youtube.com/watch?v=YEXW82L0q9E""
""affirmalegal.com"":""https://www.affirmalegal.com/blog/como-se-registra-una-marca-en-colombia/""
""signa.com.co"":""https://www.signa.com.co/precios/""
""cardenasvega.com"":""https://www.cardenasvega.com/index.php/cardenas-vega/boletin-intelectual/item/cuanto-cuesta-registrar-marca""
""marcasyregistros.com"":""https://marcasyregistros.com/landings/costos_registro_de_marca_en_Colombia.html""
""tiktok.com"":""https://www.tiktok.com/@valeriadavid.abogada/video/7537159532049468677""
""youtube.com"":""https://www.youtube.com/watch?v=FconGS5WqO4""
""portafolio.co"":""https://www.portafolio.co/negocios/comercio/estos-son-los-costos-para-registrar-una-marca-en-colombia-623855"""
co,registro de marca,,registro de marca,,,,1900,17,0.28,0.42,484000000,Informational,"Video, Adwords Bottom, Video Carousel, People Also Ask, Related Searches, Short Videos, AI Overview","0.45,0.66,0.83,0.83,0.66,1.00,0.66,0.66,0.66,0.66,0.66,0.55",90,"""affirmalegal.com"":""https://www.affirmalegal.com/blog/como-se-registra-una-marca-en-colombia/""
""camaramedellin.com.co"":""https://www.camaramedellin.com.co/quiero-un-servicio-para-mi-empresa/creacion-de-empresas/asesoria-para-el-registro-de-marca-ante-la-sic""
""sic.gov.co"":""https://www.sic.gov.co/tasas-signos-distintivos""
""vue.gov.co"":""https://www.vue.gov.co/tramites-y-consultas/consulta-de-nombre-de-marca""
""signa.com.co"":""https://www.signa.com.co/precios/""
""sic.gov.co"":""https://www.sic.gov.co/tema/propiedad-Industrial/pasos-para-solicitar-el-registro-de-una-marca""
""registro-marcas-colombia.com"":""https://registro-marcas-colombia.com/cuanto-cuesta-registrar-marca-colombia/""
""youtube.com"":""https://www.youtube.com/watch?v=YEXW82L0q9E""
""sipi.sic.gov.co"":""https://sipi.sic.gov.co/sipi/extra/""
""cardenasvega.com"":""https://www.cardenasvega.com/index.php/cardenas-vega/boletin-intelectual/item/cuanto-cuesta-registrar-marca""","""sic.gov.co"":""https://www.sic.gov.co/marcas""
""camaramedellin.com.co"":""https://www.camaramedellin.com.co/quiero-un-servicio-para-mi-empresa/creacion-de-empresas/asesoria-para-el-registro-de-marca-ante-la-sic""
""sipi.sic.gov.co"":""https://sipi.sic.gov.co/sipi/extra/""
""vue.gov.co"":""https://www.vue.gov.co/tramites-y-consultas/consulta-de-nombre-de-marca""
""affirmalegal.com"":""https://www.affirmalegal.com/blog/como-se-registra-una-marca-en-colombia/""
""bibliotecadigital.ccb.org.co"":""https://bibliotecadigital.ccb.org.co/bitstream/handle/11520/11728/1000001366.pdf?seq""
""crecer.ccc.org.co"":""https://crecer.ccc.org.co/categoria/asesorate/guia-facil-para-registrar-tu-marca-y-proteger-tu-negocio/""
""artesaniasdecolombia.com.co"":""https://artesaniasdecolombia.com.co/PortalAC/Publicacion/como-registrar-su-marca_5816""
""cardenasvega.com"":""https://www.cardenasvega.com/index.php/cardenas-vega/boletin-intelectual/item/cuanto-demora-registrar-marca-colombia""
""camarabaq.org.co"":""https://www.camarabaq.org.co/pv/proyectos-y-servicios/registro-de-marca"""
co,marca registrada,,registro de marca,,,,2400,36,0.18,0.02,96400000,Informational,"Video Carousel, People Also Ask, Related Searches, AI Overview, Knowledge Panel, Video, Image","0.66,0.83,0.83,1.00,1.00,1.00,0.83,0.83,0.83,0.83,0.83,0.66",70,"""affirmalegal.com"":""https://www.affirmalegal.com/blog/como-se-registra-una-marca-en-colombia/""
""camaramedellin.com.co"":""https://www.camaramedellin.com.co/quiero-un-servicio-para-mi-empresa/creacion-de-empresas/asesoria-para-el-registro-de-marca-ante-la-sic""
""sic.gov.co"":""https://www.sic.gov.co/tasas-signos-distintivos""
""vue.gov.co"":""https://www.vue.gov.co/tramites-y-consultas/consulta-de-nombre-de-marca""
""signa.com.co"":""https://www.signa.com.co/precios/""
""sic.gov.co"":""https://www.sic.gov.co/tema/propiedad-Industrial/pasos-para-solicitar-el-registro-de-una-marca""
""registro-marcas-colombia.com"":""https://registro-marcas-colombia.com/cuanto-cuesta-registrar-marca-colombia/""
""youtube.com"":""https://www.youtube.com/watch?v=YEXW82L0q9E""
""sipi.sic.gov.co"":""https://sipi.sic.gov.co/sipi/extra/""
""cardenasvega.com"":""https://www.cardenasvega.com/index.php/cardenas-vega/boletin-intelectual/item/cuanto-cuesta-registrar-marca""","""sic.gov.co"":""https://www.sic.gov.co/marcas""
""igerent.com"":""https://igerent.com/es/simbolos-de-marca-registrada-tipos-diferencias-y-usos""
""vue.gov.co"":""https://www.vue.gov.co/tramites-y-consultas/consulta-de-nombre-de-marca""
""marcaregistrada.com.co"":""https://marcaregistrada.com.co/""
""shopify.com"":""https://www.shopify.com/es/blog/marca-registrada""
""es.wikipedia.org"":""https://es.wikipedia.org/wiki/Grupo_Marca_Registrada""
""ccb.org.co"":""https://www.ccb.org.co/servicios/crea-tu-empresa/constituye-tu-empresa/consulta-de-marca""
""registro-marca.com"":""https://registro-marca.com/marca-registrada/""
""open.spotify.com"":""https://open.spotify.com/intl-es/artist/1gW6pz5n1aK249L0GvfQCC""
""open.spotify.com"":""https://open.spotify.com/intl-es/artist/1gW6pz5n1aK249L0GvfQCC"""
co,marcas registradas en colombia,,registro de marca,,,,1000,0,0.21,0.46,12200000,Informational,"Video, People Also Ask, Related Searches, Image Pack","0.45,0.62,0.62,0.81,0.62,1.00,0.62,0.81,0.62,0.62,0.62,0.55",,"""affirmalegal.com"":""https://www.affirmalegal.com/blog/como-se-registra-una-marca-en-colombia/""
""camaramedellin.com.co"":""https://www.camaramedellin.com.co/quiero-un-servicio-para-mi-empresa/creacion-de-empresas/asesoria-para-el-registro-de-marca-ante-la-sic""
""sic.gov.co"":""https://www.sic.gov.co/tasas-signos-distintivos""
""vue.gov.co"":""https://www.vue.gov.co/tramites-y-consultas/consulta-de-nombre-de-marca""
""signa.com.co"":""https://www.signa.com.co/precios/""
""sic.gov.co"":""https://www.sic.gov.co/tema/propiedad-Industrial/pasos-para-solicitar-el-registro-de-una-marca""
""registro-marcas-colombia.com"":""https://registro-marcas-colombia.com/cuanto-cuesta-registrar-marca-colombia/""
""youtube.com"":""https://www.youtube.com/watch?v=YEXW82L0q9E""
""sipi.sic.gov.co"":""https://sipi.sic.gov.co/sipi/extra/""
""cardenasvega.com"":""https://www.cardenasvega.com/index.php/cardenas-vega/boletin-intelectual/item/cuanto-cuesta-registrar-marca""","""sic.gov.co"":""https://www.sic.gov.co/marcas""
""vue.gov.co"":""https://www.vue.gov.co/tramites-y-consultas/consulta-de-nombre-de-marca""
""trademark-search.marcaria.com"":""https://trademark-search.marcaria.com/es/am%C3%A9rica/colombia-busqueda-de-marcas""
""ccb.org.co"":""https://www.ccb.org.co/servicios/crea-tu-empresa/constituye-tu-empresa/consulta-de-marca""
""rues.org.co"":""https://www.rues.org.co/""
""minjusticia.gov.co"":""https://www.minjusticia.gov.co/programas-co/LegalApp/Paginas/Registro-de-marca.aspx""
""cardenasvega.com"":""https://www.cardenasvega.com/index.php/marcas/registro-de-marcas""
""sipi.sic.gov.co"":""https://sipi.sic.gov.co/sipi/extra/""
""affirmalegal.com"":""https://www.affirmalegal.com/blog/como-saber-si-una-marca-esta-registrada-en-colombia/""
""registro-marca.com"":""https://registro-marca.com/consulta-marcas-registradas-colombia/"""
co,sipi sic,,registro de marca,,,,5400,27,0.23,0.02,35900,Navigational,"People Also Ask, Related Searches, Site Links, Video","0.44,0.55,0.67,0.82,0.82,0.82,0.67,0.82,0.82,1.00,0.82,0.82",20,"""affirmalegal.com"":""https://www.affirmalegal.com/blog/como-se-registra-una-marca-en-colombia/""
""camaramedellin.com.co"":""https://www.camaramedellin.com.co/quiero-un-servicio-para-mi-empresa/creacion-de-empresas/asesoria-para-el-registro-de-marca-ante-la-sic""
""sic.gov.co"":""https://www.sic.gov.co/tasas-signos-distintivos""
""vue.gov.co"":""https://www.vue.gov.co/tramites-y-consultas/consulta-de-nombre-de-marca""
""signa.com.co"":""https://www.signa.com.co/precios/""
""sic.gov.co"":""https://www.sic.gov.co/tema/propiedad-Industrial/pasos-para-solicitar-el-registro-de-una-marca""
""registro-marcas-colombia.com"":""https://registro-marcas-colombia.com/cuanto-cuesta-registrar-marca-colombia/""
""youtube.com"":""https://www.youtube.com/watch?v=YEXW82L0q9E""
""sipi.sic.gov.co"":""https://sipi.sic.gov.co/sipi/extra/""
""cardenasvega.com"":""https://www.cardenasvega.com/index.php/cardenas-vega/boletin-intelectual/item/cuanto-cuesta-registrar-marca""","""sipi.sic.gov.co"":""https://sipi.sic.gov.co/""
""sedeelectronica.sic.gov.co"":""https://sedeelectronica.sic.gov.co/temas/propiedad-industrial/marcas""
""sedeelectronica.sic.gov.co"":""https://sedeelectronica.sic.gov.co/node/15660""
""vue.gov.co"":""https://www.vue.gov.co/tramites-y-consultas/consulta-de-nombre-de-marca""
""youtube.com"":""https://www.youtube.com/watch?v=XIDeYCBQJdk""
""sedeelectronica.sic.gov.co"":""https://sedeelectronica.sic.gov.co/sites/default/files/otros/Aprenda%20c%C3%B3mo%20crear%20su%20cuenta%20en%20SIPI.pdf""
""abelloabogados.com"":""https://abelloabogados.com/propiedad-industrial/que-es-el-sipi-de-la-sic/""
""youtube.com"":""https://www.youtube.com/watch?v=jVg0fXUh8Ec""
""sedeelectronica.sic.gov.co"":""https://sedeelectronica.sic.gov.co/sites/default/files/preguntas-frecuentes/Delegatura_Propiedad_Industrial_2022.pdf""
""acpi.org.co"":""https://acpi.org.co/informe-entregado-a-la-sic-respecto-de-inconvenientes-de-sipi/"""
co,colores marcas,,,,,,260,14,0.00,0.06,226000000,Informational,"Image Pack, Video, Image, Video Carousel, Related Searches","0.36,1.00,0.67,0.29,0.24,0.29,0.19,0.29,0.36,0.29,0.24,0.19",75,,"""piktochart.com"":""https://piktochart.com/es/blog/colores-de-marca/""
""translate.google.com"":""https://translate.google.com/translate?u=https://www.canva.com/learn/choose-right-colors-brand/&hl=es&sl=en&tl=es&client=srp""
""tailorbrands.com"":""https://www.tailorbrands.com/es/logo-maker/colores-del-logo""
""sabio360.com"":""https://sabio360.com/los-colores-de-marca-una-herramienta-poderosa/""
""uzink.es"":""https://uzink.es/la-psicologia-del-color-potenciando-tu-identidad-de-marca/""
""olartemoure.com"":""https://olartemoure.com/el-poder-de-las-marcas-de-color/""
""tiendanorma.com.co"":""https://www.tiendanorma.com.co/g/colores-y-marcadores/""
""jamesbrand.co"":""https://jamesbrand.co/blog/best-colors-for-branding/""
""jamesbrand.co"":""https://jamesbrand.co/blog/best-colors-for-branding/""
""color.adobe.com"":""https://color.adobe.com/es/create"""
co,marca tridimensional,,,,,,90,13,0.00,0.00,8790000,Informational,"Related Searches, AI Overview, Image Pack, Video, Image, Video Carousel","0.18,0.06,0.41,0.65,0.82,0.65,0.29,0.53,0.41,1.00,0.65,0.41",75,,"""olartemoure.com"":""https://olartemoure.com/marcas-tridimensionales/""
""garridoydonaque.com"":""https://www.garridoydonaque.com/blog/marca-tridimensional/""
""brandemia.org"":""https://brandemia.org/que-son-las-marcas-tridimensionales-y-en-que-se-diferencian-del-trade-dress""
""dialnet.unirioja.es"":""https://dialnet.unirioja.es/descarga/articulo/3257851.pdf""
""marcasyderechos.com"":""https://marcasyderechos.com/marcas-tridimensionales-que-son-como-se-registran-y-su-impacto-en-el-mercado/""
""artesaniasdecolombia.com.co"":""https://artesaniasdecolombia.com.co/PortalAC/Noticia/tenemos-una-marca-tridimensional_10168""
""protectia.eu"":""https://www.protectia.eu/registro-marca-tridimensional-que-es/""
""wipo.int"":""https://www.wipo.int/es/web/wipo-magazine/articles/articles/3d-trademarks-under-french-and-community-practice-36629""
""propintel.uexternado.edu.co"":""https://propintel.uexternado.edu.co/disenos-industriales-vs-marcas-tridimensionals/""
""ambitojuridico.com"":""https://www.ambitojuridico.com/noticias/administrativo/que-es-una-marca-tridimensional-814-am"""
co,propiedad intelectual ejemplos,,,,,,140,0,0.00,0.02,20200000,Informational,"Site Links, Video, Image, People Also Ask, Related Searches, AI Overview, Image Pack","0.01,0.01,1.00,0.36,0.67,0.01,0.07,0.07,0.03,0.01,0.06,0.01",,,"""wipo.int"":""https://www.wipo.int/es/web/about-ip""
""translate.google.com"":""https://translate.google.com/translate?u=https://www.investopedia.com/terms/i/intellectualproperty.asp&hl=es&sl=en&tl=es&client=srp""
""translate.google.com"":""https://translate.google.com/translate?u=https://sprintlaw.co.uk/articles/top-5-examples-of-intellectual-properties-every-uk-business-should-protect/&hl=es&sl=en&tl=es&client=srp""
""strategofirma.com"":""https://strategofirma.com/estos-son-los-tipos-de-propiedad-intelectual/""
""colombiaaprende.edu.co"":""http://www.colombiaaprende.edu.co/recurso-coleccion/propiedad-intelectual""
""inapi.cl"":""https://www.inapi.cl/portal/institucional/600/w3-article-841.html""
""translate.google.com"":""https://translate.google.com/translate?u=https://lawpath.com.au/blog/examples-intellectual-property&hl=es&sl=en&tl=es&client=srp""
""kiteworks.com"":""https://www.kiteworks.com/es/glosario-riesgo-cumplimiento/propiedad-intelectual/""
""minciencias.gov.co"":""https://minciencias.gov.co/glosario/propiedad-intelectual""
""ovtt.org"":""https://www.ovtt.org/guias/propiedad-intelectual/"""
co,marca notoria,,,,,,40,15,0.00,0.33,3670000,Commercial,"Related Searches, AI Overview, Image Pack, Video, Image, People Also Ask","0.16,0.06,0.03,0.03,0.06,1.00,0.03,0.03,0.09,0.03,0.03,0.03",75,,"""asuntoslegales.com.co"":""https://www.asuntoslegales.com.co/actualidad/que-es-una-marca-notoria-y-en-que-casos-la-sic-determina-y-otorga-este-titulo-3519324""
""olartemoure.com"":""https://olartemoure.com/marca-notoria-y-marca-de-alto-renombre/""
""sic.gov.co"":""https://www.sic.gov.co/node/12949""
""dpej.rae.es"":""https://dpej.rae.es/lema/marca-notoria""
""consejodeestado.gov.co"":""https://www.consejodeestado.gov.co/documentos/boletines/101/S1/11001-03-24-000-2003-00322-01.pdf""
""alvamark.com"":""https://www.alvamark.com/blog/que-es-una-marca-notoria-como-se-reconoce/""
""abelloabogados.com"":""https://abelloabogados.com/propiedad-industrial/como-obtener-una-marca-notoria/""
""bdigital.uexternado.edu.co"":""https://bdigital.uexternado.edu.co/entities/publication/635847c0-35c4-40c4-8e0d-f7af92772c66""
""blog.distintivo.com.co"":""https://blog.distintivo.com.co/beneficios-de-una-marca-notoria-protecci%C3%B3n-legal""
""alvamark.com"":""https://www.alvamark.com/blog/que-es-una-marca-notoria-como-se-reconoce/"""
co,lois,,,,,,720,38,0.00,0.01,154000000,Navigational,"Local Pack, Site Links, Video, Image, People Also Ask, Related Searches, Knowledge Panel","0.82,1.00,0.67,0.67,0.67,0.82,0.82,0.67,0.82,0.67,0.82,0.67",20,,"""loisjeans.es"":""https://loisjeans.es/""
""loisjeanstore.com"":""https://loisjeanstore.com/""
""es.wikipedia.org"":""https://es.wikipedia.org/wiki/Lois_(marca)""
""lois.com.co"":""https://lois.com.co/""
""listado.mercadolibre.com.co"":""https://listado.mercadolibre.com.co/jeans-lois-hombre""
""farfetch.com"":""https://www.farfetch.com/co/shopping/women/lois-jeans-jeans-con-detalle-del-logo-item-31168489.aspx""
""facebook.com"":""https://www.facebook.com/LoisJeans/?locale=es_LA""
""facebook.com"":""https://www.facebook.com/LoisJeans/?locale=es_LA""
""instagram.com"":""https://www.instagram.com/loisjeans_es/?hl=es""
""gotrendier.com.co"":""https://www.gotrendier.com.co/hombre/jeans-rectos-hombre/lois-jeans"""
co,consulting group,,,,,,170,24,0.42,0.11,529000000,Commercial,"Local Pack, Video, Related Searches, AI Overview","0.52,0.67,1.00,0.81,1.00,0.67,0.67,0.67,0.52,0.67,1.00,0.67",75,,"""consultingcol.com"":""https://consultingcol.com/""
""cgclatam.com"":""https://www.cgclatam.com/""
""co.linkedin.com"":""https://co.linkedin.com/company/consulting-group-colombia-s-a-s""
""instagram.com"":""https://www.instagram.com/consultinggroupc/?hl=es-la""
""co.computrabajo.com"":""https://co.computrabajo.com/empresas/acerca-de-consulting-group-colombia-sas-0B6DFC43558B14BE""
""datacreditoempresas.com.co"":""https://www.datacreditoempresas.com.co/directorio/consulting-group-lyl-s-a-s.html""
""mdco.com.co"":""https://mdco.com.co/""
""gydconsulting.com"":""https://www.gydconsulting.com/""
""emis.com"":""https://www.emis.com/php/company-profile/CO/Consulting_Group_Colombia_SAS_es_3402954.html""
""facebook.com"":""https://www.facebook.com/CGCLATAM/?locale=es_LA"""
co,derecho de entretenimiento,,,,,,30,13,0.00,0.03,61000000,Informational,"Related Searches, Knowledge Panel, Video","0.14,0.14,0.14,0.29,0.14,0.57,0.14,1.00,1.00,0.57,0.29,0.14",70,,"""educacioncontinua.uniandes.edu.co"":""https://educacioncontinua.uniandes.edu.co/derecho-del-entretenimiento/p""
""umanaasociados.com"":""https://www.umanaasociados.com/derecho-del-entretenimiento/""
""hklaw.com"":""https://www.hklaw.com/es/services/practices/corporate-transactions-and-finance/entertainment-law""
""es.wikipedia.org"":""https://es.wikipedia.org/wiki/Derecho_del_entretenimiento""
""propiedadintelectual.com.co"":""https://propiedadintelectual.com.co/propiedadintelectual/pintelectual/dentretenimiento/""
""translate.google.com"":""https://translate.google.com/translate?u=https://www.law.ac.uk/resources/blog/what-is-entertainment-law/&hl=es&sl=en&tl=es&client=srp""
""tumnet.com"":""https://tumnet.com/es/firma-de-abogados-especializada-en-propiedad-intelectual/derecho-del-entretenimiento/""
""olartemoure.com"":""https://olartemoure.com/derecho-de-autor/""
""jrlegal.com.co"":""https://jrlegal.com.co/derecho-de-entretenimiento/""
""educations.es"":""https://www.educations.es/llm/derecho-del-entretenimiento"""
co,asesoria legal para empresas,,,,,,480,16,0.97,0.34,18700000,Commercial,"Site Links, Video, Adwords Bottom, People Also Ask, Related Searches, AI Overview, Local Pack","0.04,0.07,0.04,0.25,0.04,0.25,0.04,1.00,0.04,0.20,0.04,0.04",20,,"""pwc.com"":""https://www.pwc.com/co/es/nuestros-servicios/legal.html""
""solucioneslegales.net.co"":""https://www.solucioneslegales.net.co/""
""legalhelpabogados.com.co"":""https://legalhelpabogados.com.co/asesoria-legal-3/""
""gonzalezpaezabogados.co"":""https://gonzalezpaezabogados.co/""
""affirmalegal.com"":""https://www.affirmalegal.com/blog/asesoria-legal-empresarial-en-colombia/""
""prelegalassist.com"":""https://www.prelegalassist.com/inicio""
""ui1.es"":""https://www.ui1.es/blog-ui1/que-es-la-asesoria-juridica-de-empresas-garantizando-el-cumplimiento-legal-en-el-entorno""
""tusabogadosycontadores.co"":""https://tusabogadosycontadores.co/co/servicios-juridicos-empresas""
""perezllorca.com"":""https://www.perezllorca.com/es-co/""
""mslegal.com.co"":""https://mslegal.com.co/asesoria-legal-en-derecho-comercial-y-corporativo/"""
co,registro de software en colombia,,,,,,110,9,0.00,0.00,65800000,Informational,"AI Overview, Video, Video Carousel, Related Searches","0.43,0.33,0.67,0.81,0.67,0.67,0.43,0.43,0.52,1.00,0.14,0.33",90,,
co,clasificacion niza,,,,,,720,35,0.00,0.00,105000,"Informational, Transactional","People Also Ask, Related Searches, Knowledge Panel, Site Links, Video","0.55,0.67,0.82,1.00,1.00,1.00,0.67,0.82,0.82,1.00,1.00,0.67",20,,
co,tipos de empresas,,,,,,4400,28,0.45,0.00,517000000,Informational,"Video, Featured Snippet, People Also Ask, Related Searches, Image Pack","0.16,0.23,1.00,1.00,0.54,0.67,0.36,0.44,0.67,0.54,0.44,0.30",80,,
co,tipos de marcas,,,,,,390,25,0.00,0.00,521000000,Informational,"Related Searches, AI Overview, Knowledge Panel, Video, Image, People Also Ask","0.29,0.29,0.81,1.00,0.81,1.00,0.54,0.66,0.66,0.66,0.66,0.44",70,,
co,tipos de empresas en colombia y sus características,,,,,,90,9,0.00,0.00,436000000,Informational,"Site Links, Video, People Also Ask, Related Searches","0.20,0.40,0.20,0.80,1.00,0.20,0.20,0.20,0.40,1.00,0.20,1.00",20,,
co,constitucion de una empresa,,,,,,320,16,0.37,0.06,13000000,Informational,"Related Searches, AI Overview, Video, Adwords Bottom","0.35,0.35,0.81,1.00,0.67,0.67,0.54,0.54,0.67,0.54,0.67,0.44",90,,
co,tipos de empresas en colombia,,,,,,1300,15,0.01,0.01,213000000,Informational,"People Also Ask, Related Searches, AI Overview, Image Pack, Video","0.20,0.30,1.00,0.79,0.54,0.54,0.37,0.37,0.54,0.42,0.42,0.30",90,,
co,que son los derechos de autor,,,,,,720,0,0.00,0.00,440000000,Informational,"Site Links, Video, People Also Ask, Related Searches, See Results About, AI Overview","0.11,0.25,1.00,0.68,0.45,0.68,0.37,0.45,0.55,0.77,0.55,0.25",,,
co,propiedad intelectual,Propiedad intelectual,,,,,2400,27,0.62,0.04,119000000,Informational,"People Also Ask, Related Searches, AI Overview, Video, Video Carousel","0.44,0.44,0.81,1.00,0.81,1.00,0.53,0.53,0.67,0.67,0.67,0.53",75,,
co,organización mundial de la propiedad intelectual,Propiedad intelectual,,,,,480,36,0.00,0.00,12800000,Informational,"Knowledge Panel, Video, Video Carousel, People Also Ask, Related Searches","0.01,0.01,0.01,0.01,0.01,0.36,0.07,0.01,0.06,1.00,0.01,0.01",70,,
co,que es la propiedad intelectual,Propiedad intelectual,,,,,480,36,0.00,0.00,119000000,Informational,"Instant Answer, Video, People Also Ask, Related Searches, AI Overview","0.24,0.19,1.00,1.00,0.67,0.82,0.36,0.55,0.67,0.82,0.55,0.36",20,,
co,propiedad intelectual en colombia,Propiedad intelectual,,,,,390,20,0.24,0.06,25100000,Informational,"Video, Video Carousel, People Also Ask, Related Searches, AI Overview","0.44,0.44,1.00,1.00,0.81,0.81,0.54,0.54,0.66,0.81,0.66,0.54",90,,
co,propiedad intelectual y derechos de autor,Propiedad intelectual,,,,,390,21,0.27,0.07,29300000,Informational,"Site Links, Video, Related Searches, AI Overview","0.54,0.67,1.00,1.00,1.00,1.00,0.67,1.00,1.00,0.81,0.81,0.67",20,,
