Groups,Keyword,Intent,Volume,Keyword Difficulty,CPC (USD),SERP Features,source_seed,relevance_score
"abogado,intelectual,propiedad",abogados propiedad intelectual,Commercial,90,24,0.69,"Reviews, People also ask, Local pack, Related searches",Propiedad-intelectual,30
"credito,fintech",fintech credito,"Informational, Transactional",70,64,0.84,"Video, Video carousel, People also ask, Related searches",fintech,30
"colombia,marca,registro,ropa",como registrar una marca de ropa en colombia,Informational,70,13,0.17,"AI Overview, Video, Video carousel, Short videos, People also ask, Related searches",registro-de-marca-colombia,30
"fintech,prestamos",prestamos fintech,"Informational, Transactional",50,66,0.77,"Sitelinks, Video, Video carousel, Local pack, Related searches, Ads bottom",fintech,30
"fintech,proyecto",proyectos fintech,Informational,50,25,0.0,"AI Overview, Video, People also ask, Related searches",fintech,30
"industrial,intelectual,propiedad",propiedad intelectual y propiedad industrial,Informational,50,26,0.0,"Sitelinks, AI Overview, Video, People also ask, Related searches",Propiedad-intelectual,30
"asociados,colombia,fintech",asociación colombia fintech,Navigational,40,39,0.0,"Sitelinks, Image pack, Video, Local pack, Related searches",fintech,30
"credito,fintech",fintech credit,"Informational, Transactional",40,28,0.36,"AI Overview, Video, Video carousel, Related searches",fintech,30
"dia,intelectual,propiedad",dia de la propiedad intelectual,Informational,40,20,0.0,"Sitelinks, Instant answer, Image pack, Video, Video carousel, People also ask, Knowledge panel, Related searches",Propiedad-intelectual,30
"abogado,empleo,intelectual,propiedad",empleo abogado propiedad intelectual,Commercial,40,17,0.0,"Video, Jobs, Related searches",Propiedad-intelectual,30
"asociacion,fintech",asociacion fintech,,30,50,0.0,,fintech,30
"banco,fintech",bancos fintech,Informational,30,20,0.7,"AI Overview, Video, Video carousel, People also ask, Related searches",fintech,30
"fintech,invertir",como invertir en fintech,Informational,30,13,0.74,"AI Overview, Video, Video carousel, People also ask, Related searches",fintech,30
"ejemplos,fintech",ejemplos de fintech,Informational,30,10,0.0,"AI Overview, Image pack, Video, Related searches",fintech,30
"argentina,fintech",fintech en argentina,"Informational, Transactional",30,25,0.0,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, Short videos, People also ask, Related searches",fintech,30
"fintech,pla",fintech plaid,Navigational,30,38,0.0,"Sitelinks, Video, People also ask, Knowledge panel, Related searches",fintech,30
"fintech,industrial",industria fintech,,30,50,0.0,,fintech,30
"colombia,fintech,ley",ley fintech colombia,,30,50,0.0,,fintech,30
"fintech,pla",plaid fintech,,30,50,0.0,,fintech,30
"colombia,fintech,presidente",presidente colombia fintech,,30,50,0.0,,fintech,30
"casa,colombia,intelectual,propiedad",casos de propiedad intelectual en colombia,Informational,30,14,0.0,"AI Overview, Video, Video carousel, People also ask, Related searches",Propiedad-intelectual,30
"afecta,como,digitales,intelectual,medio,propiedad",cómo afecta la propiedad intelectual en los medios digitales,Informational,30,15,0.0,"AI Overview, Video, People also ask, Related searches",Propiedad-intelectual,30
"diferencia,industrial,intelectual,propiedad",diferencia entre propiedad industrial y propiedad intelectual,Informational,30,16,0.0,"AI Overview, Video, Video carousel, Related searches",Propiedad-intelectual,30
"colombia,diferencia,industrial,intelectual,propiedad",diferencia entre propiedad intelectual y propiedad industrial en colombia,Informational,30,13,0.0,"Sitelinks, AI Overview, Video, Video carousel, Related searches",Propiedad-intelectual,30
"colombia,ejemplos,intelectual,propiedad",ejemplos de propiedad intelectual en colombia,Informational,30,15,0.0,"AI Overview, Video, Video carousel, People also ask, Related searches",Propiedad-intelectual,30
"colombia,cuanto,marca,registro,vale",cuanto vale un registro de marca en colombia,Informational,30,5,0.13,"AI Overview, Video, Short videos, People also ask, Related searches",registro-de-marca-colombia,30
"colombia,marca,registro,valor",valor de registro de marca en colombia,Informational,30,15,0.15,"AI Overview, Video, People also ask, Related searches",registro-de-marca-colombia,30
"ai,fintech",ai in fintech,,20,50,3.79,,fintech,30
"artificial,fintech,intelligence",artificial intelligence fintech,,20,50,0.0,,fintech,30
"asociados,fintech",asociación fintech,,20,50,0.0,,fintech,30
"colombia,fintech,miembros",colombia fintech miembros,,20,50,0.0,,fintech,30
"colombia,fintech,telefono",colombia fintech telefono,,20,50,0.0,,fintech,30
"colombia,crear,fintech",como crear una fintech en colombia,,20,50,0.82,,fintech,30
"compañia,fintech",compañia fintech,,20,50,0.0,,fintech,30
"compañia,fintech",compañias fintech,,20,50,0.0,,fintech,30
"colombia,credito,fintech",creditos fintech colombia,,20,50,0.71,,fintech,30
"digital,fintech",digital fintech,,20,50,0.0,,fintech,30
"colombia,ecosistema,fintech",ecosistema fintech en colombia,,20,50,0.0,,fintech,30
"emprendimiento,fintech",emprendimiento fintech,,20,50,0.0,,fintech,30
"emprendimiento,fintech",emprendimientos fintech,,20,50,0.0,,fintech,30
"estudio,fintech",estudiar fintech,,20,50,0.0,,fintech,30
"america,fintech,miami",fintech americas miami,,20,50,2.03,,fintech,30
"app,fintech",fintech app,,20,50,0.91,,fintech,30
"app,development,fintech",fintech app development,,20,50,0.0,,fintech,30
"australia,fintech",fintech australia,,20,50,0.0,,fintech,30
"2018,colombia,fintech",fintech colombia 2018,,20,50,0.0,,fintech,30
"colombia,fintech,radar",fintech radar colombia,,20,50,0.0,,fintech,30
"fintech,software",fintech software,,20,50,0.0,,fintech,30
"development,fintech,software",fintech software development,,20,50,0.0,,fintech,30
"fintech,spain",fintech spain,,20,50,0.0,,fintech,30
"fintech,historia",historia de las fintech,,20,50,0.0,,fintech,30
"colombia,fintech,invertir",invertir en fintech colombia,,20,50,0.0,,fintech,30
"colombia,fintech,mejor",mejores fintech colombia,,20,50,1.5,,fintech,30
"colombia,fintech,normatividad",normatividad fintech colombia,,20,50,0.0,,fintech,30
"colombia,fintech,principales",principales fintech en colombia,,20,50,0.0,,fintech,30
"colombia,fintech",que es colombia fintech,,20,50,0.0,,fintech,30
"fintech,industrial",que es la industria fintech,,20,50,0.0,,fintech,30
"fintech,startup",que es una startup fintech,,20,50,0.0,,fintech,30
"colombia,fintech",que son las fintech en colombia,,20,50,0.0,,fintech,30
"colombia,fintech,regular",quien regula las fintech en colombia,,20,50,0.0,,fintech,30
"fintech,startup",qué es una startup fintech,,20,50,0.0,,fintech,30
"colombia,fintech,regulacion",regulacion fintech colombia,,20,50,0.0,,fintech,30
"colombia,fintech,sector",sector fintech en colombia,,20,50,0.0,,fintech,30
"fintech,startup",startup de fintech,,20,50,0.0,,fintech,30
"fintech,startup",startup fintech que es,,20,50,0.0,,fintech,30
"fintech,significado,startup",startups fintech significado,,20,50,0.0,,fintech,30
"fintech,tecnologia",tecnologia fintech,,20,50,0.0,,fintech,30
"fintech,tecnologicos",tecnología fintech,,20,50,0.0,,fintech,30
"0,2,financial,fintech,papa,reboot,service",the fintech 2.0 paper rebooting financial services,,20,50,0.0,,fintech,30
"colombia,fintech,top",top fintech colombia,,20,50,0.0,,fintech,30
"artificial,intelectual,inteligencia,propiedad",inteligencia artificial propiedad intelectual,,20,50,0.0,,Propiedad-intelectual,30
"artificial,intelectual,inteligencia,propiedad",inteligencia artificial y propiedad intelectual,,20,50,0.0,,Propiedad-intelectual,30
"intelectual,licencia,propiedad",licencias propiedad intelectual,,20,50,0.0,,Propiedad-intelectual,30
"colombia,intelectual,propiedad,software",propiedad intelectual software colombia,,20,50,0.0,,Propiedad-intelectual,30
"colombia,intelectual,marca,propiedad,registro",registro de marca propiedad intelectual colombia,,20,50,0.0,,Propiedad-intelectual,30
"licencia,saas",licencia saas,,20,50,0.0,,saas,30
"addie,colombia,fintech",addi fintech colombia,,10,50,0.0,,fintech,30
"asociados,fintech",asociaciones fintech,,10,50,0.0,,fintech,30
"app,best,fintech",best fintech apps,,10,50,0.0,,fintech,30
"best,fintech,startup",best fintech startups,,10,50,0.0,,fintech,30
"california,fintech",california fintech,,10,50,0.0,,fintech,30
"2019,colombia,fintech",colombia fintech 2019,,10,50,0.0,,fintech,30
"columbia,fintech",columbia fintech,,10,50,0.0,,fintech,30
"credencial,fintech",credencial fintech,,10,50,0.0,,fintech,30
"colombia,ecosistema,fintech",ecosistema fintech colombia,,10,50,0.0,,fintech,30
"colombia,ejemplos,empresa,fintech",ejemplos de empresas fintech en colombia,,10,50,0.0,,fintech,30
"especializacion,fintech",especializacion en fintech,,10,50,2.99,,fintech,30
"financiacion,fintech",financiacion fintech,,10,50,0.0,,fintech,30
"financial,fintech",financiamiento fintech,,10,50,0.0,,fintech,30
"fintech,mundial,nivel",fintech a nivel mundial,,10,50,0.0,,fintech,30
"app,company,development,fintech",fintech app development companies,,10,50,0.0,,fintech,30
